id,ts,coin,horizon_hours,chosen_variant,chosen_p_up,lca_score,comparison_count,corrected_alpha,cleared_gate,k_sel,reason,prediction_ts,scores_json
1,1786946421646,LINK,12,original,0.4666666666666667,1,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was experimental at +50.0pts on n=3) -- defaulting to Original k-NN.",1786946417264,
2,1786946421839,LINK,24,original,0.6,0.8571428571428571,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >45.2pts above 50%, best was challenger_calibrated at +35.7pts on n=7) -- defaulting to Original k-NN.",1786946417730,
3,1786946422150,BTC,24,original,0.4,0.75,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >42.3pts above 50%, best was original at +25.0pts on n=8) -- defaulting to Original k-NN.",1786946417966,
4,1786946422499,BTC,12,original,0.26666666666666666,1,4,0.0125,0,15,"No variant's local edge cleared the significance bar (needed >64.7pts above 50%, best was challenger_flat at +50.0pts on n=3) -- defaulting to Original k-NN.",1786946418443,
5,1786957222430,LINK,24,original,1,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >37.9pts above 50%, best was calibrated at +30.0pts on n=10) -- defaulting to Original k-NN.",1786957217437,
6,1786957222511,LINK,12,original,0.3333333333333333,0.3333333333333333,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >69.1pts above 50%, best was experimental at +-16.7pts on n=3) -- defaulting to Original k-NN.",1786957217562,
7,1786957222735,BTC,12,original,0.26666666666666666,0.6,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was original at +10.0pts on n=5) -- defaulting to Original k-NN.",1786957217564,
8,1786957222737,BTC,24,original,0.4666666666666667,0.6666666666666666,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >48.9pts above 50%, best was calibrated at +16.7pts on n=6) -- defaulting to Original k-NN.",1786957217564,
9,1786968019504,LINK,12,original,0.2,0.4,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >30.9pts above 50%, best was calibrated at +-10.0pts on n=15) -- defaulting to Original k-NN.",1786968016444,
10,1786968019510,LINK,24,original,0.7333333333333333,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >37.9pts above 50%, best was calibrated at +30.0pts on n=10) -- defaulting to Original k-NN.",1786968016267,
11,1786968019895,BTC,12,original,0.26666666666666666,0.8,6,0.008333333333333333,0,15,"No variant's local edge cleared the significance bar (needed >53.5pts above 50%, best was challenger_flat at +30.0pts on n=5) -- defaulting to Original k-NN.",1786968016665,
